year,record_type,state,ori,agency_name,agency_type,population_group,country_division,population,agency_status,covered_by_ori,fbi_field_office,judicial_district
2023,BH,04,CA0101300,000000000000,Unknown,Unknown,SA,NGER,Unknown,None,Unknown,Unknown
2023,BH,04,CA0101400,000000000000,Unknown,Unknown,SA,N JOAQUIN,Unknown,None,Unknown,Unknown
2023,BH,04,CA0101500,000000000000,Unknown,Unknown,SE,LMA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0101700,000000000000,Unknown,Unknown,FR,ESNO,Unknown,None,Unknown,Unknown
2023,BH,04,CA010180X,000000000000,Unknown,Unknown,FR,ESNO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0101900,000000000000        20230,County,Unknown,CA,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0102400,000000000000,Unknown,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0102600,000000000000        20230,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0103000,000000000000,Unknown,Unknown,FR,IANT,Unknown,None,Unknown,Unknown
2023,BH,04,CA0103100,000000000000,Unknown,Unknown,RE,EDLEY,Unknown,None,Unknown,Unknown
2023,BH,04,CA0103500,000000000000,Unknown,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA010440X,000000000000,Unknown,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0109700,000000000000        20220,Unknown,Unknown,FR,ESNO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0109800,000000000000,Unknown,Unknown,FR,ESNO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0109900,000000000000        20211,County,Unknown,FR,ESNO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0109901,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0109912,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0109913,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0109935,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0109995,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA010M15M,000000000000,Unknown,Unknown,CO,ALINGA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0110000,000000000000        20210,County,Unknown,WI,LLOWS,Unknown,None,Unknown,Unknown
2023,BH,04,CA0110100,000000000000,Unknown,Unknown,OR,LAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0110200,000000000000,Unknown,Unknown,WI,LLOWS,Unknown,None,Unknown,Unknown
2023,BH,04,CA011030X,000000000000,Unknown,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0119900,000000000000        20211,County,Unknown,WI,LLOWS,Unknown,None,Unknown,Unknown
2023,BH,04,CA0119960,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0120000,000000000000        20220,Federal,Unknown,EU,REKA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0120100,000000000000        20220,University/College,Unknown,AR,CATA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0120200,000000000000,Unknown,Unknown,BL,UE LAKE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0120300,000000000000        20221,County,Unknown,EU,REKA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0120400,000000000000        20211,County,Unknown,FE,RNDALE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0120500,000000000000        20211,County,Unknown,FO,RTUNA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0120600,000000000000,Unknown,Unknown,TR,INIDAD,Unknown,None,Unknown,Unknown
